A Furlong Too Late,2 oz ,Light rum,4 oz ,Ginger beer,1 twist of ,Lemon peel,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
A Night In Old Mandalay,1 oz ,Light rum,1 oz ,Añejo rum,1 oz ,Orange juice,1/2 oz ,Lemon juice,3 oz ,Ginger ale,1 twist of ,Lemon peel,In a shaker half-filled with ice cubes combine the light rum añejo rum orange juice and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.
A. J.,1 1/2 oz ,Applejack,1 oz ,Grapefruit juice,Shake ingredients with ice strain into a cocktail glass and serve.
Abbey Cocktail,1 1/2 oz ,Gin,1 dash ,Orange bitters,Juice of 1/4 ,Orange,1 ,Cherry,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
Abilene,1 1/2 oz ,Dark rum,2 oz ,Peach nectar,3 oz ,Orange juice,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.
Acapulco,1 1/2 oz ,Light rum,1 1/2 tsp ,Triple sec,1 tblsp ,Lime juice,1 tsp ,Sugar,1 ,Egg white,1 Mint s,Mint,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.
Adam,2 oz ,Dark rum,1 oz ,Lemon juice,1 tsp ,Grenadine,In a shaker half-filled with ice cubes combine all of the ingredients. Shake well. Strain into a cocktail glass.
Adonis Cocktail,3/4 oz ,Sweet Vermouth,1 1/2 oz dry ,Sherry,1 dash ,Orange bitters,Stir all ingredients with ice strain contents into a cocktail glass and serve.
Affair,2 oz ,Strawberry schnapps,2 oz ,Orange juice,2 oz ,Cranberry juice,,Club soda,Pour schnapps orange juice and cranberry juice over ice in a highball glass. Top with club soda and serve.
Affinity,1 1/2 oz ,Scotch,1 oz ,Sweet Vermouth,1 oz ,Dry Vermouth,2 dashes ,Orange bitters,In a mixing glass half-filled with ice cubes combine all of the ingredients. Stir well. Strain into a cocktail glass.
After Dinner Cocktail,1 oz ,Apricot brandy,1 oz ,Triple sec,Juice of 1 ,Lime,1 Lime w,Lime,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.
After Supper Cocktail,1 oz ,Triple sec,1 oz ,Apricot brandy,1/2 tsp ,Lemon juice,Shake all ingredients with ice strain into a cocktail glass and serve.
Alabama Slammer,1 oz ,Southern Comfort,1 oz ,Amaretto,1/2 oz ,Sloe gin,1 dash ,Lemon juice,Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir add a dash of lemon juice and serve.
Alaska Cocktail,2 dashes ,Orange bitters,1 1/2 oz ,Gin,3/4 oz ,Yellow Chartreuse,Twist of ,Lemon peel,Stir all ingredients with ice strain contents into a cocktail glass. Drop in a twist of lemon and serve.
Alexander,1/2 oz ,Gin,1/2 oz white ,Creme de Cacao,2 oz ,Light cream,,Nutmeg,Shake all ingredients (except nutmeg) with ice and strain into a cocktail glass. Sprinkle nutmeg on top and serve.
Alexander #2,1 oz ,Gin,1 oz white ,Creme de Cacao,1 oz ,Light cream,,Nutmeg,Shake all ingredients (except nutmeg) with ice and strain into a cocktail glass. Sprinkle nutmeg on top and serve.
Brandy Alexander,1 oz ,Brandy,1 oz white ,Creme de Cacao,1 oz ,Light cream,,Nutmeg,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
Alexander's Big Brother,2 oz ,Gin,1/2 oz ,Blue Curacao,1/2 oz ,Heavy cream,In a shaker half-filled with ice cubes combine all of the ingredients. Shake well. Strain into a cocktail glass.
Alexander's Sister,1 1/2 oz ,Gin,1 oz ,Green Creme de Menthe,1 oz ,Heavy cream,1/8 tsp grated ,Nutmeg,In a shaker half-filled with ice cubes combine the gin creme de menthe and heavy cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.
